synapse_id	x_px	y_px	z_px	size_px	distance	detection_uncertainty	node_id	node_x_px	node_y_px	node_z_px	node_count	nearest_connector_id	nearest_connector_distance_nm	nearest_connector_x_nm	nearest_connector_y_nm	nearest_connector_z_nm
1925	9987	6247	163	2564	0.0283622	0.389551	28451	10075	6255	163	7	28547	541.4240482283734	40352.0	25006.0	6975.0
1926	10102	6113	162	11	0.0896747	0.59181820262562146	28453	10077	6262	162	1	28508	187.45666165810167	40372.0	24490.0	7470.0
1927	10102	6155	166	678	0.019053	0.463525	28431	10091	6220	166	4	28508	134.892549831338	40372.0	24490.0	7470.0
1928	9988	6361	166	270	0.173783	0.281148	28431	10091	6220	166	3	226506	427.2470011597507	39894.0	25770.0	7740.0
1929	10068	6146	167	196	0.055082	0.375969	28430	10092	6279	167	2	28508	144.43337564427412	40372.0	24490.0	7470.0
1930	9947	6206	167	362	0.100029	0.362983	28430	10092	6279	167	2	28508	674.2677509713778	40372.0	24490.0	7470.0
1931	10120	6228	167	1222	0.00736912	0.337946	28430	10092	6279	167	2	28433	66.75327707311455	40546.0	24902.0	7515.0
1932	10030	6173	167	305	0.200714	0.5230164574795082	28430	10092	6279	167	1	28508	326.08741159388535	40372.0	24490.0	7470.0
1933	10223	6170	167	27	0.174657	0.59629623978226265	28430	10092	6279	167	1	28433	411.0960958218893	40546.0	24902.0	7515.0
1934	10017	6178	167	45	0.227493	0.63400001525878902	28430	10092	6279	167	1	28508	379.11080174534726	40372.0	24490.0	7470.0
1935	10139	6177	167	48	0.0951676	0.40250007311503089	28430	10092	6279	167	1	28433	194.25756098540927	40546.0	24902.0	7515.0
1936	10231	6195	167	67	0.159378	0.60626864077439957	28430	10092	6279	167	1	28433	397.200201409818	40546.0	24902.0	7515.0
1937	10215	6197	167	56	0.132159	0.58571423803056988	28430	10092	6279	167	1	28433	334.0538878684096	40546.0	24902.0	7515.0
1938	10046	6202	167	19	0.169265	0.494210443998638	28430	10092	6279	167	1	28508	372.1464765384727	40372.0	24490.0	7470.0
1939	10093	6263	167	21	0.014117	0.35714290255591985	28430	10092	6279	167	1	28433	229.73027662891977	40546.0	24902.0	7515.0
1940	10205	6284	167	37	0.0987924	0.20675669489680115	28430	10092	6279	167	1	28433	360.32207814676025	40546.0	24902.0	7515.0
1941	10211	6329	167	606	0.162328	0.57798661335860146	28430	10092	6279	167	1	28433	510.09802979427394	40546.0	24902.0	7515.0
1952	9988	6361	169	93	0.266453	0.31677426574050738	28425	10107	6287	169	1	226506	357.5821583916066	39894.0	25770.0	7740.0
1953	10059	6416	171	1920	0.0742883	0.284562	28382	10110	6290	171	5	28402	168.00297616411441	40156.0	25724.0	7830.0
1942	10113	6156	169	303	0.166837	0.41290439316148408	28425	10107	6287	169	1	28508	206.35164162177145	40372.0	24490.0	7470.0
1943	10034	6169	169	599	0.211875	0.402821	28425	10107	6287	169	2	28508	329.41918584077644	40372.0	24490.0	7470.0
1944	10127	6206	170	2863	0.0561848	0.307593	28424	10108	6289	170	3	28433	160.47741274085897	40546.0	24902.0	7515.0
1945	10223	6174	170	235	0.136792	0.387745	28424	10108	6289	170	3	28433	424.70813507631334	40546.0	24902.0	7515.0
1946	10238	6197	169	630	0.139409	0.421127	28425	10107	6287	169	2	28433	431.19833023795445	40546.0	24902.0	7515.0
1947	9963	6217	170	310	0.17208	0.329548	28424	10108	6289	170	3	28508	667.5956860256064	40372.0	24490.0	7470.0
1948	10094	6264	169	90	0.0100853	0.41066661410861549	28425	10107	6287	169	1	28433	246.40616875394983	40546.0	24902.0	7515.0
1949	10199	6262	169	20	0.108904	0.28950004577636723	28425	10107	6287	169	1	28433	303.1765162409516	40546.0	24902.0	7515.0
1950	10205	6284	169	17	0.112002	0.48058823978199683	28425	10107	6287	169	1	28433	371.3919762191962	40546.0	24902.0	7515.0
1951	10217	6329	169	1666	0.101029	0.473151	28425	10107	6287	169	3	28433	532.1465963435264	40546.0	24902.0	7515.0
1954	10214	6416	173	329	0.089866	0.313495	28374	10074	6340	173	2	26240	654.4868218688594	40334.0	25426.0	8100.0
1955	10097	6216	175	16	0.176641	0.33249998092651367	28368	10067	6364	175	1	28433	394.97848042646575	40546.0	24902.0	7515.0
1956	10098	6268	175	45	0.114705	0.49466662936740446	28368	10067	6364	175	1	26240	423.4442112014285	40334.0	25426.0	8100.0
1957	10215	6412	176	435	0.104104	0.298598	28367	10062	6375	176	3	26240	598.6317732964063	40334.0	25426.0	8100.0
1958	10054	6414	175	323	0.0303432	0.27390093257183634	28368	10067	6364	175	1	28402	101.23734488813898	40156.0	25724.0	7830.0
1960	9950	6357	176	81	0.10071	0.441358	28367	10062	6375	176	2	226506	397.7436360270268	39894.0	25770.0	7740.0
